ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
SBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,4.15,4.15,4.18,3.78,-0.3999999999999999,0.0,0.0
VEEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79005,0.848,0.83475,0.74,0.67995,-0.06004999999999994,0.0,0.0
PATN,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7901,26.8285,26.81,25.755,27.305,1.5500000000000007,0.0,0.0
IBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6232,0.6174,0.6127,0.6018,0.58725,-0.014549999999999952,0.0,0.0
KAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.2802,1.3105,1.18,1.0999,-0.08009999999999984,0.0,0.0
DTSQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1973,0.2,0.2,0.0,0.0,0.0,0.0,0.0
DTSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47,0.0,0.0,0.0,10.4811,0.0,0.0,0.0
AAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52,10.5375,10.5393,10.53,10.55,0.02000000000000135,0.0,0.0
HCWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6403,0.642449,0.654229,0.677,0.7,0.02299999999999991,0.0,0.0
BCAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.05,18.055,18.04,17.44,17.35,-0.08999999999999986,0.0,0.0
MBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,16.25,15.845,14.7,16.785,2.085000000000001,0.0,0.0
ZBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,23.1,24.8,26.2,25.465,-0.7349999999999994,0.0,0.0
EURKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLXG,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,5.0299,5.02,4.3,4.32,0.020000000000000462,0.0,0.0
